,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Time,Sector,Sub Sector,Size Group,MAJOR BRAND_Sauces2 [ MAJOR BRAND_Sauces2 ],Product,Geography,Value Sales,Unit Sales,Volume Sales,Average Weekly ACV Distribution
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,HAMMONDS,HAMMONDS STANDARD BROWN SAUCE REGULAR 1 CT 698 GR 5000225026156,Sainsburys GB,21.8,12,8.376,0.5036627354620338
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,GOLD STAR,GOLD STAR STANDARD BROWN SAUCE REGULAR 1 CT 670 GR 5020744670050,Asda GB,1513.3,1514,1014.38,11.538643129437933
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,GOLD STAR,GOLD STAR STANDARD BROWN SAUCE REGULAR 1 CT 670 GR 5020744670050,Iceland GB,1224,1224,820.08,8.282941924851007
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,GOLD STAR,GOLD STAR STANDARD BROWN SAUCE REGULAR 1 CT 670 GR 5020744670050,Morrisons GB,664.4,604,404.6800000000001,10.369835248781785
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,GOLD STAR,GOLD STAR STANDARD BROWN SAUCE REGULAR 1 CT 670 GR 5020744670050,Sainsburys GB,284,284,190.28,4.257163362171804
"1 w/e 05 Mar, 2022",BROWN SAUCE,STANDARD BROWN SAUCE,501 - 700 GR,GOLD STAR,GOLD STAR STANDARD BROWN SAUCE REGULAR 1 CT 670 GR 5020744670050,Tesco GB,1222.93,1235,827.4500000000002,8.1439057947481
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,0 - 350 GR,BRANSTON,BRANSTON FLAVOURED BROWN SAUCE FRUITY 1 CT 245 GR 5060336506565,Morrisons GB,1410.4,1760,431.2,38.15504718766417
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,0 - 350 GR,BRANSTON,BRANSTON FLAVOURED BROWN SAUCE FRUITY 1 CT 245 GR 5060336506565,Sainsburys GB,1019.9,1295,317.27500000000003,27.934070243837176
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,0 - 350 GR,CROSSE & BLACKWELL,CROSSE & BLACKWELL FLAVOURED BROWN SAUCE FRUITY BROWN 1 CT 275 GR 5000243707129,Sainsburys GB,0.54,1,0.275,0.28621503116417446
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD FLAVOURED BROWN SAUCE FRUITY 1 CT 445 GR 5057753923136,Tesco GB,4950.41,5502,2448.3899999999994,72.81380369250971
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Asda GB,11965.22,5226,2456.2200000000003,91.96660595866581
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Iceland GB,2106.69,1053,494.91,23.58546487383198
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Morrisons GB,103.5,45,21.15,2.2537230733271723
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Sainsburys GB,11017.75,4797,2254.589999999999,85.15636084290506
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Tesco GB,18900.58,9448,4440.560000000001,80.91371844049684
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,The Cooperative Group GB,2388,1038,487.8599999999999,26.765870017070725
"1 w/e 12 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Waitrose GB,154.1,67,31.490000000000006,8.625156476583006
"1 w/e 12 Mar, 2022",BROWN SAUCE,HEALTHY BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD HEALTHY BROWN SAUCE REGULAR REDUCED SALT REDUCED SUGR 1 CT 450 GR 01774450,Sainsburys GB,1368.31,1328,597.6,65.78148941384332
"1 w/e 12 Mar, 2022",BROWN SAUCE,HEALTHY BROWN SAUCE,351 - 500 GR,HP,HP HEALTHY BROWN SAUCE REGULAR REDUCED SALT REDUCED SUGR 1 CT 450 GR 5000111046701,Sainsburys GB,4934.92,2474,1113.3,78.23768457102832
"1 w/e 12 Mar, 2022",BROWN SAUCE,HEALTHY BROWN SAUCE,351 - 500 GR,HP,HP HEALTHY BROWN SAUCE REGULAR REDUCED SALT REDUCED SUGR 1 CT 450 GR 5000111046701,Tesco GB,12064.86,6006,2702.7,82.72137764839846
"1 w/e 12 Mar, 2022",BROWN SAUCE,HEALTHY BROWN SAUCE,351 - 500 GR,HP,HP HEALTHY BROWN SAUCE REGULAR REDUCED SALT REDUCED SUGR 1 CT 450 GR 5000111046701,Waitrose GB,1873.44,800,359.9999999999999,75.43847914295866
